iter	RMSE
0	16.66608726
1	16.48942648
2	16.32534558
3	16.1100791
4	15.92261462
5	15.76418641
6	15.59175821
7	15.42449615
8	15.25919784
9	15.1031759
10	14.92958086
11	14.78438225
12	14.62544072
13	14.48783151
14	14.34327985
15	14.18390971
16	14.04588099
17	13.92127187
18	13.79559424
19	13.62721914
20	13.48411705
21	13.36488453
22	13.24970658
23	13.12360469
24	13.00024952
25	12.87944769
26	12.75331645
27	12.6241611
28	12.50269116
29	12.38192761
30	12.27134206
31	12.13311421
32	12.04043735
33	11.92426287
34	11.82607787
35	11.70577413
36	11.5856937
37	11.47928652
38	11.36447163
39	11.25848633
40	11.14642831
41	11.04991121
42	10.95323238
43	10.83499865
44	10.73843261
45	10.63364792
46	10.53993116
47	10.44904134
48	10.36308215
49	10.27135989
50	10.18954929
51	10.08176731
52	10.00148508
53	9.922726502
54	9.855827159
55	9.779194001
56	9.68870574
57	9.613325286
58	9.515363224
59	9.448669314
60	9.371700386
61	9.298868822
62	9.230837524
63	9.157822342
64	9.088894897
65	9.025775619
66	8.955345621
67	8.889315486
68	8.823461425
69	8.754538343
70	8.695035094
71	8.622656341
72	8.561214895
73	8.504058531
74	8.435763953
75	8.373194039
76	8.31314303
77	8.252722277
78	8.188902088
79	8.129058383
80	8.070032472
81	8.004788585
82	7.949733937
83	7.886726463
84	7.83058435
85	7.783941406
86	7.718276141
87	7.668761073
88	7.621636085
89	7.562436834
90	7.523241922
91	7.477461248
92	7.427356733
93	7.382695953
94	7.342072259
95	7.293926001
96	7.246804952
97	7.198328535
98	7.151981576
99	7.114289534
100	7.064145227
101	7.017383241
102	6.970044947
103	6.928796068
104	6.88870704
105	6.844145747
106	6.809446183
107	6.767608524
108	6.730754442
109	6.691220126
110	6.652919921
111	6.613209202
112	6.575970246
113	6.534598728
114	6.494157931
115	6.457072025
116	6.418942426
117	6.383460857
118	6.349457162
119	6.310699606
120	6.272381984
121	6.237164893
122	6.201321606
123	6.166081824
124	6.132409592
125	6.097207228
126	6.062449045
127	6.030188757
128	5.993073981
129	5.963159623
130	5.930320386
131	5.896615504
132	5.868089983
133	5.833310802
134	5.801101266
135	5.772729869
136	5.738398176
137	5.709631883
138	5.680134736
139	5.653727878
140	5.625325627
141	5.593411346
142	5.56346029
143	5.532585535
144	5.502016448
145	5.47172621
146	5.445917163
147	5.420384518
148	5.395256618
149	5.366396307
150	5.343476343
151	5.31703427
152	5.291194662
153	5.26667338
154	5.243899806
155	5.223693602
156	5.199952853
157	5.176131273
158	5.156073186
159	5.133213648
160	5.109406285
161	5.087891899
162	5.063697257
163	5.042454021
164	5.021474726
165	5.002237989
166	4.976747189
167	4.95419871
168	4.931978446
169	4.908873246
170	4.889474525
171	4.871570143
172	4.852873895
173	4.832394666
174	4.810672293
175	4.788850794
176	4.764406408
177	4.745353723
178	4.7262375
179	4.706515514
180	4.685540912
181	4.667331062
182	4.650712127
183	4.631903366
184	4.611645633
185	4.5902523
186	4.571741628
187	4.551536161
188	4.534556187
189	4.517509598
190	4.499641962
191	4.484941451
192	4.468772566
193	4.452102992
194	4.436369716
195	4.421047292
196	4.403933951
197	4.387115175
198	4.371524876
199	4.354491377
200	4.339398577
201	4.323185144
202	4.307919674
203	4.29027623
204	4.275973094
205	4.258935809
206	4.24443781
207	4.231353449
208	4.215953155
209	4.198934552
210	4.184592017
211	4.169953763
212	4.155254754
213	4.139695016
214	4.127132052
215	4.109853468
216	4.095431325
217	4.083785687
218	4.068206666
219	4.054640531
220	4.043066825
221	4.029388617
222	4.017396022
223	4.004371044
224	3.989393022
225	3.976319111
226	3.962715064
227	3.947686407
228	3.93338372
229	3.920074368
230	3.908490776
231	3.896144263
232	3.881580014
233	3.870884669
234	3.85845507
235	3.846164747
236	3.834168495
237	3.822380144
238	3.810013386
239	3.799101984
240	3.786317087
241	3.773281226
242	3.763515749
243	3.753254429
244	3.740549937
245	3.730834079
246	3.719361593
247	3.711173119
248	3.698803707
249	3.686984496
250	3.675304612
251	3.664392599
252	3.653481343
253	3.643073119
254	3.633411238
255	3.620186104
256	3.607810888
257	3.599100098
258	3.58685435
259	3.576707915
260	3.565426629
261	3.554900038
262	3.545158068
263	3.534709539
264	3.524776894
265	3.512973379
266	3.50183245
267	3.491798129
268	3.480990418
269	3.470051944
270	3.460933322
271	3.450818627
272	3.44139233
273	3.433148736
274	3.424736626
275	3.415359808
276	3.406249043
277	3.396706255
278	3.388324065
279	3.379001545
280	3.37017401
281	3.359569463
282	3.348344905
283	3.338628627
284	3.33094269
285	3.322555829
286	3.312680766
287	3.303013654
288	3.295215385
289	3.285880005
290	3.27797227
291	3.270578213
292	3.261617112
293	3.251689885
294	3.243652856
295	3.23554421
296	3.227082954
297	3.218656166
298	3.211051948
299	3.203070886
300	3.19477415
301	3.187286307
302	3.179733121
303	3.171870877
304	3.16616708
305	3.158565566
306	3.15078165
307	3.143001973
308	3.134505404
309	3.128079197
310	3.121110243
311	3.113995627
312	3.106893579
313	3.09972406
314	3.093019643
315	3.084982183
316	3.075775512
317	3.070927712
318	3.06993903
319	3.068949819
320	3.061690693
321	3.053974738
322	3.048132477
323	3.040715014
324	3.03376473
325	3.028469675
326	3.022528237
327	3.013938651
328	3.008245899
329	3.00262058
330	2.997597814
331	2.991647678
332	2.985347373
333	2.977721541
334	2.972046556
335	2.96548041
336	2.958239109
337	2.953163854
338	2.947545346
339	2.940942017
340	2.934741899
341	2.931743804
342	2.927808494
343	2.925092638
344	2.922084022
345	2.916200654
346	2.913785257
347	2.910106337
348	2.904825145
349	2.898770933
350	2.896893852
351	2.890587202
352	2.88450422
353	2.882563927
354	2.877115646
355	2.875480628
356	2.874369853
357	2.867225625
358	2.863769342
359	2.861242979
360	2.858503805
361	2.855436729
362	2.849896977
363	2.848107681
364	2.845470058
365	2.840788672
366	2.838422272
367	2.833360737
368	2.830457618
369	2.825038731
370	2.822359297
371	2.819622195
372	2.813474818
373	2.808124396
374	2.805770298
375	2.802038653
376	2.800483729
377	2.798489494
378	2.796516088
379	2.792002025
380	2.78981266
381	2.784762493
382	2.778418055
383	2.776792561
384	2.772697777
385	2.771317934
386	2.76978244
387	2.767333948
388	2.76308693
389	2.75759539
390	2.75176818
391	2.749351147
392	2.743736883
393	2.740529395
394	2.738192297
395	2.736723317
