iter	Passed	Remaining
0	203	305348
1	233	174773
2	261	130308
3	264	99052
4	294	88176
5	320	79813
6	347	74070
7	359	67069
8	385	63787
9	412	61421
10	438	59413
11	465	57779
12	490	56157
13	517	54912
14	542	53690
15	568	52682
16	595	51927
17	620	51099
18	646	50376
19	653	48337
20	679	47850
21	705	47376
22	731	46968
23	758	46654
24	788	46515
25	814	46176
26	839	45809
27	865	45489
28	893	45346
29	920	45094
30	947	44886
31	948	43511
32	975	43368
33	1003	43255
34	1031	43175
35	1058	43043
36	1088	43038
37	1095	42129
38	1120	41971
39	1147	41870
40	1154	41067
41	1179	40957
42	1205	40842
43	1231	40751
44	1257	40674
45	1286	40661
46	1311	40551
47	1337	40472
48	1364	40398
49	1389	40305
50	1415	40205
51	1416	39439
52	1441	39360
53	1467	39306
54	1494	39266
55	1520	39218
56	1547	39180
57	1574	39147
58	1587	38778
59	1615	38760
60	1640	38698
61	1665	38634
62	1691	38577
63	1720	38592
64	1745	38533
65	1773	38525
66	1799	38493
67	1825	38432
68	1852	38420
69	1879	38399
70	1906	38372
71	1908	37855
72	1933	37798
73	1960	37779
74	1987	37767
75	2014	37749
76	2041	37726
77	2070	37749
78	2097	37733
79	2126	37737
80	2155	37762
81	2159	37335
82	2185	37304
83	2214	37337
84	2241	37313
85	2267	37290
86	2268	36848
87	2297	36857
88	2326	36883
89	2327	36467
90	2355	36466
91	2382	36461
92	2409	36446
93	2435	36427
94	2463	36437
95	2490	36425
96	2521	36464
97	2550	36492
98	2578	36489
99	2607	36499
100	2634	36487
101	2661	36472
102	2688	36459
103	2715	36457
104	2745	36476
105	2771	36447
106	2797	36420
107	2823	36398
108	2851	36385
109	2881	36414
110	2908	36401
111	2937	36406
112	2963	36376
113	2989	36344
114	3017	36346
115	3050	36391
116	3076	36364
117	3103	36347
118	3131	36345
119	3158	36319
120	3186	36311
121	3216	36325
122	3242	36297
123	3269	36283
124	3295	36255
125	3325	36260
126	3356	36286
127	3387	36304
128	3416	36308
129	3443	36285
130	3470	36273
131	3501	36290
132	3536	36353
133	3569	36385
134	3602	36427
135	3634	36452
136	3644	36254
137	3676	36281
138	3708	36308
139	3742	36351
140	3779	36429
141	3816	36501
142	3848	36518
143	3878	36522
144	3905	36496
145	3932	36473
146	3960	36450
147	3989	36444
148	4016	36413
149	4042	36386
150	4070	36367
151	4101	36371
152	4129	36358
153	4160	36365
154	4161	36115
155	4190	36102
156	4224	36134
157	4267	36250
158	4306	36318
159	4344	36381
160	4380	36434
161	4413	36449
162	4443	36445
163	4475	36456
164	4505	36453
165	4533	36432
166	4564	36435
167	4593	36418
168	4622	36409
169	4654	36415
170	4682	36393
171	4713	36389
172	4741	36373
173	4773	36374
174	4803	36372
175	4833	36358
176	4863	36351
177	4893	36344
178	4925	36346
179	4955	36338
180	4985	36327
181	5016	36325
182	5017	36111
183	5047	36099
184	5077	36089
185	5105	36066
186	5136	36068
187	5169	36075
188	5200	36073
189	5230	36064
190	5259	36045
191	5288	36030
192	5317	36011
193	5347	35995
194	5376	35979
195	5410	35994
196	5440	35983
197	5473	35989
198	5505	35993
199	5538	35998
200	5569	35992
201	5602	35999
202	5633	35993
203	5664	35988
204	5696	35986
205	5727	35977
206	5757	35964
207	5793	35985
208	5827	35999
209	5860	36001
210	5892	35998
211	5925	36002
212	5956	35991
213	5993	36015
214	6024	36009
215	6056	36001
216	6086	35988
217	6119	35989
218	6150	35977
219	6180	35960
220	6210	35940
221	6244	35946
222	6273	35926
223	6306	35922
224	6343	35946
225	6377	35949
226	6405	35920
227	6436	35906
228	6466	35888
229	6496	35873
230	6525	35846
231	6554	35824
232	6583	35799
233	6584	35623
234	6614	35603
235	6642	35577
236	6671	35555
237	6700	35530
238	6728	35502
239	6766	35522
240	6797	35509
241	6826	35484
242	6855	35464
243	6884	35439
244	6912	35411
245	6943	35395
246	6979	35404
247	6979	35236
248	7008	35212
249	7039	35197
250	7068	35173
251	7099	35157
252	7129	35142
253	7158	35115
254	7186	35086
255	7215	35062
256	7243	35034
257	7271	35006
258	7302	34989
259	7330	34958
260	7362	34949
261	7392	34929
262	7421	34905
263	7453	34895
264	7483	34874
265	7511	34845
266	7542	34829
267	7571	34804
268	7599	34778
269	7629	34755
270	7658	34731
271	7687	34704
272	7715	34679
273	7745	34658
274	7772	34624
275	7800	34595
276	7828	34562
277	7857	34537
278	7885	34507
279	7915	34488
280	7944	34465
281	7972	34434
282	8001	34408
283	8029	34380
284	8057	34350
285	8085	34319
286	8114	34295
287	8143	34269
288	8172	34246
289	8204	34232
290	8232	34202
291	8260	34174
292	8291	34157
293	8320	34131
294	8349	34104
295	8377	34077
296	8407	34055
297	8436	34028
298	8466	34008
299	8498	33993
300	8527	33967
301	8555	33937
302	8583	33909
303	8611	33881
304	8643	33864
305	8672	33840
306	8702	33817
307	8730	33789
308	8758	33760
309	8791	33747
310	8819	33718
311	8849	33696
312	8878	33670
313	8908	33646
314	8935	33613
315	8964	33588
316	8994	33564
317	9023	33539
318	9023	33408
319	9024	33277
320	9053	33254
321	9085	33238
322	9114	33214
323	9143	33186
324	9171	33159
325	9201	33134
326	9229	33107
327	9257	33080
328	9286	33053
329	9316	33031
330	9344	33003
331	9375	32984
332	9403	32956
333	9431	32925
334	9458	32894
335	9486	32864
336	9516	32841
337	9544	32812
338	9573	32786
339	9601	32756
340	9630	32731
341	9660	32708
342	9690	32686
343	9718	32660
344	9748	32635
345	9776	32607
346	9805	32580
347	9835	32557
348	9865	32537
349	9895	32512
350	9922	32482
351	9951	32453
352	9979	32426
353	10008	32398
354	10037	32373
355	10064	32342
356	10068	32234
357	10096	32207
358	10126	32185
359	10155	32157
360	10183	32129
361	10211	32102
362	10240	32074
363	10267	32044
364	10297	32020
365	10325	31992
366	10354	31966
367	10383	31939
368	10411	31912
369	10440	31886
370	10469	31859
371	10499	31835
372	10526	31806
373	10555	31780
374	10584	31754
375	10613	31727
376	10642	31700
377	10674	31684
378	10708	31674
379	10739	31653
380	10768	31627
381	10798	31605
382	10832	31593
383	10861	31566
384	10890	31538
385	10918	31510
386	10948	31487
387	10977	31460
388	11009	31442
389	11040	31423
390	11074	31410
391	11104	31386
392	11135	31365
393	11169	31352
394	11198	31328
395	11230	31308
396	11362	31569
397	11462	31736
398	11556	31888
399	11648	32032
400	11741	32180
401	11832	32319
402	11928	32469
403	12027	32630
404	12118	32763
405	12206	32891
406	12293	33014
407	12376	33125
408	12471	33267
409	12518	33281
410	12607	33406
411	12700	33538
412	12795	33678
413	12889	33810
414	12982	33942
415	13078	34080
416	13172	34211
417	13264	34334
418	13351	34445
419	13442	34566
420	13529	34674
421	13623	34801
422	13719	34930
423	13808	35041
424	13901	35161
425	13991	35273
426	14082	35387
427	14168	35486
428	14258	35597
429	14351	35710
430	14400	35716
431	14486	35814
432	14532	35811
433	14624	35922
434	14709	36014
435	14797	36110
436	14893	36229
437	14935	36214
438	15027	36318
439	15118	36422
440	15205	36513
441	15301	36625
442	15391	36723
443	15479	36816
444	15568	36909
445	15659	37007
446	15751	37105
447	15842	37201
448	15927	37283
449	16020	37380
450	16114	37480
451	16204	37570
452	16297	37667
453	16385	37751
454	16472	37833
455	16557	37908
456	16642	37982
457	16731	38066
458	16822	38152
459	16911	38235
460	17007	38332
461	17096	38412
462	17189	38500
463	17377	38800
464	17513	38981
465	17596	39045
466	17687	39123
